Isbn	Title
3257214154	FAMILIENTREFFEN - ERZÄHLUNGEN
3257216416	DER TOD KOMMT SCHNELL IN MEXICO. ERZÄHLUNGEN.
3257233051	VERONIKA BESCHLIESST ZU STERBEN
342311360X	DIE LIEBE IN DEN ZEITEN DER CHOLERA. ROMAN.
3423116714	DIE KLONE DER JOANNA MAY. ROMAN.
3423241489	IST MEIN HINTERN WIRKLICH SO DICK?
3426605686	HAIFISCHFRAUEN
3453212150	DIE CAPPUCCINO JAHRE
3462021095	SCHWARZER TEE MIT DREI STÜCK ZUCKER
3492045642	QUERSCHÜSSE: DOWNSIZE THIS!
3498020862	DIE KORREKTUREN
3499110695	NEUN ERZÄHLUNGEN
3499151502	HEBT DEN DACHBALKEN HOCH, ZIMMERLEUTE UND SEYMOUR WIRD VORGESTELLT
3518111000	ULYSSES
3548254268	EINE GANZ NORMALE AFFÄRE
3570300099	DAS INTIMLEBEN DES ADRIAN MOLE, 13 3/4 JAHRE
3596292646	DAS BUCH DER LÄCHERLICHEN LIEBE
0060977493	THE GOD OF SMALL THINGS
0312872682	THE JAMES DEAN AFFAIR: A NEIL GULLIVER &AMP; STEVIE MARRINER NOVEL
0316602906	THE BIG BAD WOLF
0316693006	FOUR BLIND MICE (ALEX CROSS)
0345311396	PRIVATE SCREENING
0345378490	CONGO
0345404793	PROTECT AND DEFEND
0345433173	THE TALL PINE POLKA
0375400117	MEMOIRS OF A GEISHA
0375705856	PLAINSONG
0380717018	BODY OF EVIDENCE
0380718332	ALL THAT REMAINS (PATRICIA CORNWELL)
0380754509	THE CASE OF THE LOST LOOK-ALIKE (AN AVON CAMELOT BOOK)
038076654X	PETALS ON THE RIVER
0380807866	THE ELUSIVE FLAME
0385316895	LEGACY OF SILENCE
0385497466	THE BRETHREN
0385508042	THE KING OF TORTS
0385509456	THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME: A NOVEL
0385511612	BLEACHERS
0385730586	SISTERHOOD OF THE TRAVELING PANTS (BOOK 1)
0425164403	ONLY LOVE (MAGICAL LOVE)
0440234964	ALL OR NOTHING
0446605484	ROSES ARE RED (ALEX CROSS)
0446610399	THE RESCUE
0449006522	THE MANHATTAN HUNT CLUB
0449911004	PATTY JANE'S HOUSE OF CURL (BALLANTINE READER'S CIRCLE)
0451162072	PET SEMATARY (SIGNET)
0451186648	SILENT SNOW
0452282152	GIRL WITH A PEARL EARRING
051513290X	SUMMER OF STORMS
0553580388	THE PATIENT
0590598848	DEMONA'S REVENGE (GARGOYLES, NO. 2)
0590629719	CLIFFORD'S SPORTS DAY
0671023616	POSTMORTEM (KAY SCARPETTA MYSTERIES)
0671027387	DECEPTION POINT
0684848783	'TIS: A MEMOIR
0743486226	ANGELS &AMP; DEMONS
0786863986	A MONK SWIMMING
0803251718	CRAZY HORSE: THE STRANGE MAN OF THE OGLALAS: A BIOGRAPHY.
0804117934	THE SILENT CRY (WILLIAM MONK NOVELS)
140003180X	THE KALAHARI TYPING SCHOOL FOR MEN (NO. 1 LADIES' DETECTIVE AGENCY, BOOK 4)
155874262X	CHICKEN SOUP FOR THE SOUL: 101 STORIES TO OPEN THE HEART AND REKINDLE THE SPIRIT
0060987103	WICKED: THE LIFE AND TIMES OF THE WICKED WITCH OF THE WEST
0151008116	LIFE OF PI
0375704965	A JUDGEMENT IN STONE
0525947647	LIES (AND THE LYING LIARS WHO TELL THEM): A FAIR AND BALANCED LOOK AT THE RIGHT
0804111359	SECRET HISTORY
1558744150	CHICKEN SOUP FOR THE WOMAN'S SOUL: 101 STORIES TO OPEN THE HEARTS AND REKINDLE THE SPIRITS OF WOMEN (CHICKEN SOUP FOR THE SOUL)
0435272683	GREAT EXPECTATIONS (HEINEMANN GUIDED READERS)
0316782505	THE WEIGHT OF WATER
006102063X	MOVING PICTURES
0060013117	NIGHT WATCH: A NOVEL OF DISCWORLD
0060199563	THIEF OF TIME
006052779X	CHARLOTTE'S WEB
0060563079	PETER PAN: THE ORIGINAL STORY
0060809027	MY FRIEND FLICKA
0061040967	THE LAST HERO: A DISCWORLD FABLE (DISCWORLD NOVELS)
0061050474	JINGO
0061052515	MASKERADE
0061052523	INTERESTING TIMES: A NOVEL OF DISCWORLD
0064472264	ON THE BRIGHT SIDE, I'M NOW THE GIRLFRIEND OF A SEX GOD: FURTHER CONFESSIONS OF GEORGIA NICOLSON (CONFESSIONS OF GEORGIA NICOLSON, BOOK 2)
0140620664	MANSFIELD PARK (PENGUIN POPULAR CLASSICS)
0312148267	THE WIND IN THE WILLOWS (THOMAS DUNNE BOOKS)
0312156960	THE WINTER KING (THE ARTHUR BOOKS #1)
0312890044	MOONHEART
034543191X	THE KING OF ELFLAND'S DAUGHTER (DEL REY IMPACT)
0373836023	POWDER AND PATCH
0375751513	THE PICTURE OF DORIAN GRAY (MODERN LIBRARY CLASSICS)
0375801677	THE IRON GIANT
0375814248	JAMES AND THE GIANT PEACH
0375823352	THE AMBER SPYGLASS (HIS DARK MATERIALS, BOOK 3)
037582345X	THE GOLDEN COMPASS (HIS DARK MATERIALS, BOOK 1)
0375823468	THE SUBTLE KNIFE (HIS DARK MATERIALS, BOOK 2)
0380730448	THE ADRIAN MOLE DIARIES : THE SECRET DIARY OF ADRIAN MOLE, AGED 13 3/4 : THE GROWING PAINS OF ADRIAN MOLE
0380973839	THE MARTIAN CHRONICLES
0385327773	THE GREAT GOD PAN
0394586239	POSSESSION: A ROMANCE
0439510112	BORN CONFUSED
0440241413	CONFESSIONS OF A SHOPAHOLIC (SHOPAHOLIC SERIES)
0451409256	MAKING MINTY MALONE
0451523415	LITTLE WOMEN (SIGNET CLASSICS)
0451526279	EMMA (SIGNET CLASSICS)
0451526341	ANIMAL FARM
0486415864	GREAT EXPECTATIONS (DOVER THRIFT EDITIONS)
0553280589	EVA LUNA
0571197639	POISONWOOD BIBLE EDITION UK
0670035262	THE GREEN MAN : TALES FROM THE MYTHIC FOREST
0679423079	NICHOLAS NICKLEBY (EVERYMAN'S LIBRARY (CLOTH))
0679751343	ANGELS &AMP; INSECTS: TWO NOVELLAS
0684833395	CATCH-22
0743245024	THE FORSYTE SAGA (THE MAN OF PROPERTY; IN CHANCERY; TO LET)
0749748001	ENCHANTED WOOD
0749748028	FOLK OF THE FARAWAY TREE
0963094424	ANGELS AND VISITATIONS: A MISCELLANY
1401201172	LEAGUE OF EXTRAORDINARY GENTLEMEN (VOL. 2 )
1563892278	THE SANDMAN VOL. 1: PRELUDES AND NOCTURNES
1563898586	THE LEAGUE OF EXTRAORDINARY GENTLEMEN, VOL. 1
156971620X	HARLEQUIN VALENTINE
1592571301	AMERICAN SIGN LANGUAGE IN 24 HOURS (ALPHA TEACH YOURSELF IN 24 HOURS)
0374270325	A MAN IN FULL
0375719180	THE MIRACLE LIFE OF EDGAR MINT: A NOVEL
0440235502	OCTOBER SKY (THE COALWOOD SERIES #1)
044023722X	A PAINTED HOUSE
1573225487	THE ROMANCE READER
1853260673	FAR FROM THE MADDING CROWD (WORDSWORTH CLASSICS) (WORDSWORTH CLASSICS) (WADSWORTH COLLECTION)
0060977477	THE PERFECT STORM: A TRUE STORY OF MEN AGAINST THE SEA
0345391691	THE BATTLE FOR GOD
0520011171	SAPPHO: A NEW TRANSLATION
0553278746	THE POSTMAN
0670856045	THE TORTILLA CURTAIN
0872200760	SYMPOSIUM
0937858994	THE WHAT'S HAPPENING TO MY BODY? BOOK FOR BOYS: A GROWING UP GUIDE FOR PARENTS AND SONS
0671649949	THE OBJECT OF MY AFFECTION
0590431110	THE JOURNEY HOME
0064470113	TAKING THE FERRY HOME
0553571486	ANGEL OF HOPE (MERCY TRILOGY)
0972044205	THE BREACH
0312963009	NEANDERTHAL
0345430476	A SMALL DARK PLACE
0345435869	THE RIVAN CODEX: ANCIENT TEXTS OF THE BELGARIAD AND THE MALLOREON
0380728729	BABYHOOD
038081840X	YEAR'S BEST FANTASY
0449912302	DAVE BARRY IN CYBERSPACE
055329198X	WOLF MOON
0671018930	ETERNAL WARRIORS: THE WAR IN HEAVEN (BOOK ONE)
0812541642	WAITING
0312988699	NOWHERE TO RUN
0486282112	FRANKENSTEIN (DOVER THRIFT EDITIONS)
0670815373	URN BURIAL
0385313748	ALL OUR YESTERDAYS
1575843366	WHAT SHALL I BE (BARBIE CARRYALONG)
0684193957	ALL THAT REMAINS
0345371984	LAST CHANCE TO SEE
0380730138	VINEGAR HILL (OPRAH'S BOOK CLUB)
1573228737	AFFINITY
9681500555	DIARIO DE ANA FRANK
0380711109	DESERT NOTES: REFLECTIONS IN THE EYE OF A RAVENS AND RIVER NOTES: THE DANCE OF HERONS
0452283914	THE BEST DEMOCRACY MONEY CAN BUY: THE TRUTH ABOUT CORPORATE CONS, GLOBALIZATION AND HIGH-FINANCE FRAUDSTERS
0425120279	THE HUNT FOR RED OCTOBER
067153484X	THE MUSIC BOX
0380728273	LIBERTY FALLING (ANNA PIGEON MYSTERIES)
0446606197	KILLER MARKET (DEBORAH KNOTT MYSTERIES)
0771076002	REMEMBERING PETER GZOWSKI: A BOOK OF TRIBUTES
0771088191	THE BEST CANADIAN ANIMAL STORIES: CLASSIC TALES BY MASTER STORYTELLERS
1559703237	TRYING TO SAVE PIGGY SNEED
3596214629	HERR DER FLIEGEN
0062770500	ACCESS: SEATTLE (ACCESS GUIDES)
0671847546	REAL GUIDE: CALIFORNIA AND THE WEST COAST (THE REAL GUIDES)
0060188731	BEL CANTO: A NOVEL
0140374248	JAMES AND THE GIANT PEACH
0142001740	THE SECRET LIFE OF BEES - A NOVEL
0195086295	WHAT A WONDERFUL WORLD: A LIFETIME OF RECORDINGS
0312995423	DIGITAL FORTRESS: A THRILLER
0380704587	THE LADIES OF MISSALONGHI
0380815923	BLACKBERRY WINE: A NOVEL
0385416342	THE FIRM
0385418493	HOW THE IRISH SAVED CIVILIZATION (HINGES OF HISTORY)
038542471X	THE CLIENT
0425098109	THIEVES OF LIGHT (PHOTON : THE ULTIMATE GAME ON PLANET EARTH)
0449005410	HORSE HEAVEN (BALLANTINE READER'S CIRCLE)
0449202631	THE DANGER
0449207544	PROOF
0515128554	HEART OF THE SEA  (IRISH TRILOGY, BOOK 3)
0517577402	MOSTLY HARMLESS
0590450875	I SPY: A BOOK OF PICTURE RIDDLES
0590481371	I SPY SPOOKY NIGHT: A BOOK OF PICTURE RIDDLES
067103619X	LAKE NEWS
0684177730	THE SKULL BENEATH THE SKIN
0684180200	THE NEW SHOE
0743411269	AN ACCIDENTAL WOMAN
0743470389	THE SNOW GARDEN
076218857X	THE DOORBELL RANG (THE BEST MYSTERIES OF ALL TIME)
0767905938	A YEAR BY THE SEA: THOUGHTS OF AN UNFINISHED WOMAN
0800706544	THOUGH I WALK THROUGH THE VALLEY
0801096677	VICTORIOUS CHRISTIANS YOU SHOULD KNOW
0849953014	LIFE LESSONS WITH MAX LUCADO: BOOK OF HEBREWS
0891091963	INSIDE OUT: REAL CHANGE IS POSSIBLE IF YOU'RE WILLING TO START FROM THE INSIDE OUT
0915811537	SON RISE: THE MIRACLE CONTINUES
0927545373	UNVEILED AT LAST: DISCOVER GOD'S HIDDEN MESSAGE FROM GENESIS TO REVELATION
1575024179	THE DAY I ALMOST QUIT
1880185008	SERVING AS SENDERS: HOW TO CARE FOR YOUR MISSIONARIES WHILE THEY ARE PREPARING TO GO, WHILE THEY ARE ON THE FIELD, WHEN THEY RETURN HOME
0140345809	HOUSE OF STAIRS
0156528207	THE LITTLE PRINCE
0380012863	JONATHAN LIVINGSTON SEAGULL
0451154916	THE CRYSTAL HANDBOOK (SIGNET)
0785815147	SIMPLE WICCA (SIMPLE WISDOM BOOK)
0875421288	THE COMPLETE BOOK OF INCENSE, OILS AND BREWS (LLEWELLYN'S PRACTICAL MAGICK)
1567184294	THE WESTERN MYSTERIES: AN ENCYCLOPEDIC GUIDE TO THE SACRED LANGUAGES &AMP; MAGICKAL SYSTEMS OF THE WORLD- THE KEY OF IT ALL, BOOK 2 (LLEWELLYN SOURCEBOOK SERIES)
156718796X	ASTRAL TRAVEL FOR BEGINNERS: TRANSCEND TIME AND SPACE WITH OUT-OF-BODY EXPERIENCES (FOR BEGINNERS (LLEWELLYN'S))
1862047626	NEW PERSPECTIVES: RUNES
0020437501	ROSIE'S WALK
0198320264	JULIUS CAESAR (OXFORD SCHOOL SHAKESPEARE)
0373196989	SANTA BROUGHT A SON: MARRYING THE BOSS'S DAUGHTER (SILHOUETTE ROMANCE)
0373245580	MARRY ME ... AGAIN: MONTANA MAVERICKS (SILHOUETTE SPECIAL EDITION)
0451527747	ALICE'S ADVENTURES IN WONDERLAND AND THROUGH THE LOOKING GLASS (SIGNET CLASSICS)
0671867113	MOONLIGHT BECOMES YOU
0812504208	THE ADVENTURES OF TOM SAWYER
0060173289	DIVINE SECRETS OF THE YA-YA SISTERHOOD: A NOVEL
0060973897	LAKOTA WOMAN
006101351X	THE PERFECT STORM: A TRUE STORY OF MEN AGAINST THE SEA
0140104682	HEROES OF THEIR OWN LIVES: THE POLITICS AND HISTORY OF FAMILY VIOLENCE
0312143370	THE FLORENCE KING READER
0316666343	THE LOVELY BONES: A NOVEL
039456894X	IMPOSSIBLE VACATION
0440224675	HANNIBAL
0449002632	LONDON: THE NOVEL
0449213773	LIFE BEFORE MAN
0452279690	CAVEDWELLER: A NOVEL
0553569058	THE ROBBER BRIDE
0679427430	WOULDN'T TAKE NOTHING FOR MY JOURNEY NOW
0679725393	HOUSE OF MIRTH
0802114369	OHITIKA WOMAN
0803233019	BLACK ELK SPEAKS: BEING THE LIFE STORY OF A HOLY MAN OF THE OGLALA SIOUX
0819154946	THE  COMMUNITY IN AMERICA
0897322339	THE BEST IN TENT CAMPING: SMOKY MOUNTAINS : A GUIDE FOR CAMPERS WHO HATE RVS, CONCRETE SLABS, AND LOUD PORTABLE STEREOS (BEST IN TENT CAMPING COLORADO)
0940322978	MAWRDEW CZGOWCHWZ (NEW YORK REVIEW BOOKS CLASSICS)
1573225126	PROZAC NATION
1579651658	THE JOURNEY FROM HERE
1878424319	THE FOUR AGREEMENTS: A PRACTICAL GUIDE TO PERSONAL FREEDOM (A TOLTEC WISDOM BOOK)
0600586898	BLUR (MELODY MAKER)
1853260622	WAR AND PEACE (WORDSWORTH CLASSICS) (WADSWORTH COLLECTION)
1857938011	A-Z OF BEHAVING BADLY
0060804157	HE UNDERSTANDING MASCULINE PSYCHOLOGY (PERENNIAL LIBRARY)
0140382658	YOU CAN SURF THE NET!: YOUR GUIDE TO THE WORLD OF THE INTERNET
0152012966	I WANT TO BE A VETERINARIAN
0312283784	ALICE'S TULIPS: A NOVEL
0345297709	CENTAUR AISLE (THE MAGIC OF XANTH, NO. 4)
0345313097	CREWEL LYE: A CAUSTIC YARN (THE MAGIC OF XANTH, NO. 8)
0345335465	DRAGONFLIGHT (DRAGONRIDERS OF PERN - VOLUME 1)
0345416848	LAST SWORD OF POWER
0385333404	DATING BIG BIRD
044021145X	THE FIRM
0449212084	MURDER AT THE KENNEDY CENTER (CAPITAL CRIME MYSTERIES)
0553582682	GUINNESS WORLD RECORDS 2000 (GUINNESS BOOK OF RECORDS, 2000)
0590947257	FOREVER AMBER BROWN
074345829X	THE DUNGEON
0786913878	POOL OF RADIANCE: THE RUINS OF MYTH DRANNOR (FORGOTTEN REALMS)
0801491827	FEMINISM AND SUFFRAGE: THE EMERGENCE OF AN INDEPENDENT WOMEN'S MOVEMENT IN AMERICA, 1848-1869
0816729913	WHY ARE BOYS SO WEIRD (TALES FROM THIRD GRADE)
0843136685	SHELDON AND MRS. LEVINE,  AN EXCRUCIATING CORRESPONDENCE
0866119531	BLACK BEAUTY (GREAT ILLUSTRATED CLASSICS (PLAYMORE))
0866119566	OLIVER TWIST (GREAT ILLUSTRATED CLASSICS)
0870441663	THE WILD PONIES OF ASSATEAGUE ISLAND (BOOKS FOR YOUNG EXPLORERS)
1561561428	FRANKENSTEIN (ILLUSTRATED CLASSICS SERIES)
0553210092	THE SCARLET LETTER (BANTAM CLASSICS)
0553258524	DRAGONSONG (VOLUME ONE OF THE HARPER HALL TRILOGY)
0688163726	THE WATCH HOUSE
1569471096	WAS IT SOMETHING I SAID?
055358099X	CLOUD NINE
0316168815	THE LOVELY BONES
014023828X	THE TORTILLA CURTAIN
0316314927	SARAH CONLEY
0345424719	A WIDOW FOR ONE YEAR
0375414746	THE CLEARING
0375726403	EMPIRE FALLS
0385503857	ORYX AND CRAKE
0425156842	SOPHIE'S WORLD: A NOVEL ABOUT THE HISTORY OF PHILOSOPHY (BERKELEY SIGNATURE EDITION)
0440226104	BLACK AND BLUE: A NOVEL (OPRAH'S BOOK CLUB)
0452277337	LE DIVORCE (WILLIAM ABRAHAMS BOOK)
0553802488	THE FACE
